energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.677,0.108,90.013,0.136,0.269,0.000917,4,0.845,11,219048,-4.798,0.68,0,Jay Wheeler,La Curiosidad,90,1
0.779,0.339,80.045,0.192,0.181,0.0,4,0.703,7,267750,-4.975,0.595,0,Nane,Gang În Sus,52,1
0.844,0.448,126.931,0.0974,0.111,0.0,4,0.612,1,198000,-6.376,0.537,0,кис-кис,молчи,56,1
0.503,0.14,185.09,0.031,0.67,0.0,3,0.494,3,217014,-6.838,0.333,1,Justin Lo,命硬,53,1
0.682,0.0926,98.031,0.158,0.175,0.0,4,0.791,5,166851,-7.328,0.672,1,Aya Nakamura,Djadja (feat. Maluma) - Remix,89,1
0.586,0.79,116.971,0.0559,0.104,0.0,4,0.896,10,196653,-6.687,0.642,0,Roddy Ricch,The Box,92,1
0.799,0.0527,99.991,0.0482,0.00527,0.0,4,0.724,6,141063,-5.16,0.827,1,Fred De Palma,Paloma (feat. Anitta),78,1
0.527,0.385,99.965,0.0379,0.613,0.0265,4,0.723,3,231505,-6.355,0.497,0,Hoang Thuy Linh,Ke Cap Gap Ba Gia (feat. BINZ),59,1
0.414,0.0956,88.015,0.132,0.392,8.85e-05,4,0.816,1,219545,-9.654,0.832,1,Bizarrap,"Zaramay: Bzrp Music Sessions, Vol. 31",74,1
0.276,0.099,130.07,0.026,0.788,0.0,4,0.665,7,325947,-11.053,0.299,1,Fiersa Besari,Waktu Yang Salah,72,1
0.493,0.349,119.806,0.0948,0.311,0.000796,4,0.758,8,173311,-10.172,0.56,1,JóiPé,Óska mér,45,1
0.626,0.119,82.283,0.326,0.136,0.0,4,0.687,5,144000,-7.36,0.599,0,Bilal Wahib,Video Vixen,72,1
0.46,0.112,133.016,0.0335,0.523,0.0,4,0.509,6,202286,-8.474,0.291,1,Will Ferrell,Husavik (My Hometown),76,1
0.674,0.0527,139.949,0.0446,0.00792,1.45e-05,4,0.81,2,213125,-6.251,0.834,0,Lord Siva,Solhverv,66,1
0.793,0.362,139.953,0.0499,0.168,0.0,4,0.829,11,138857,-5.101,0.947,0,Jador,Dau Moda,53,1
0.593,0.407,165.924,0.217,0.0187,1.09e-06,4,0.693,9,176386,-8.506,0.688,0,Diljit Dosanjh,Clash,60,1
0.629,0.123,161.979,0.282,0.00761,0.0,4,0.772,2,167100,-5.477,0.498,1,KESI,Forretning (feat. Sivas),46,1
0.233,0.106,77.436,0.0509,0.9,3.96e-06,4,0.36,7,237000,-11.512,0.37,1,A-Lin,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,63,1
0.892,0.118,163.95,0.0379,0.11,0.0,4,0.44,4,262967,-3.099,0.586,1,Three Man Down,ฝนตกไหม,68,1
0.402,0.0869,131.815,0.0493,0.774,0.000732,3,0.365,6,257726,-11.946,0.358,1,A.R. Rahman,Taare Ginn,68,1
0.797,0.112,97.988,0.165,0.0617,0.0,4,0.811,5,171133,-5.428,0.541,1,Aya Nakamura,Djadja,81,1
0.634,0.132,183.89,0.333,0.00473,0.0,4,0.578,8,211652,-5.979,0.216,0,Reik,Si Me Dices Que Sí,83,1
0.916,0.188,130.013,0.0587,0.113,0.0,4,0.711,11,177810,-4.678,0.79,1,Irama,Mediterranea,83,1
0.67,0.181,130.048,0.0379,0.0227,0.466,4,0.802,7,178587,-7.9,0.528,0,Apache 207,Nur noch einen Schluck,62,1
0.525,0.208,120.014,0.0585,0.544,0.000132,4,0.534,5,189429,-8.763,0.278,0,Eden Ben Zaken,אגרוף,53,1
0.494,0.109,179.975,0.0324,0.715,0.0,4,0.486,6,253333,-8.56,0.414,1,Vilen,Chidiya,68,1
0.965,0.328,179.938,0.212,0.145,0.000177,4,0.839,4,152000,-0.953,0.517,1,MORGENSHTERN,Новый Мерин,61,1
0.834,0.119,139.996,0.032,0.343,5.74e-06,4,0.679,5,198971,-3.223,0.962,1,ヨルシカ,ただ君に晴れ,72,1
0.35,0.0855,152.023,0.0311,0.478,1.15e-06,4,0.512,10,222333,-11.843,0.343,1,Jay Chou,說好不哭,66,1
0.87,0.489,120.006,0.0623,0.0604,1.12e-05,4,0.752,9,157707,-3.812,0.784,0,Lady Gaga,Sour Candy (with BLACKPINK),82,1
0.756,0.103,100.07,0.0572,0.362,0.000685,4,0.725,4,186133,-5.013,0.828,1,Boza,Hecha Pa' Mi,40,1
0.666,0.131,100.03,0.0714,0.315,0.0,4,0.73,5,176000,-4.824,0.423,0,Haval,KONTROLLZON,63,1
0.429,0.12,76.949,0.308,0.673,2.7e-05,4,0.67,7,206467,-10.084,0.453,1,Bispo,Lembrei-me,50,1
0.741,0.0759,112.911,0.0257,0.0846,0.0,4,0.756,5,174667,-4.813,0.762,0,Skwor,Síla Starejch Vín,52,1
0.613,0.114,119.964,0.21,0.688,0.0,4,0.875,3,212320,-7.229,0.752,0,Naps,6.3,70,1
0.755,0.263,154.008,0.23,0.23,0.0,4,0.776,0,169821,-5.511,0.728,0,MAYBE BABY,Ахегао,46,1
0.892,0.374,122.981,0.0451,0.0474,0.00083,4,0.667,5,173663,-4.611,0.541,0,PS1,Fake Friends (feat. Alex Hosking),73,1
0.283,0.0897,127.943,0.0331,0.884,0.0014,4,0.509,9,214000,-12.236,0.227,1,Mahen,Luka Yang Kurindu,73,1
0.877,0.37,108.066,0.0377,0.312,0.0,4,0.781,2,163495,-5.761,0.781,0,Ece Mumay,Galaksi,69,1
0.667,0.157,147.911,0.0888,0.683,0.0,4,0.762,5,171387,-6.8,0.645,1,RK,Euros,66,1
0.731,0.235,100.002,0.0419,0.00274,0.0,4,0.661,1,201600,-7.8,0.493,1,Singapūras Satīns,Bambaleo,41,1
0.742,0.558,148.949,0.162,0.00198,0.0,4,0.773,5,186843,-5.453,0.35,0,Future,Over Your Head,58,1
